point_index,x,y,z,x_D,y_D,z_D,nut,nutEq_true,nut_pred,delta_nut_true,delta_nut_pred,delta_error,relative_error,ID,ax,theta,z_original,ax_d,z_d
49181,-182.0,0.0,869.2222,-1.4444444,0.0,6.898589,32.94792,6.4219837,-0.05155182,-26.525938,-32.999474,-6.4735355,0.2440455,1,-177.0,-1.5707963267948966,869.2222,-1.4047619047619047,6.898589
49182,-210.0,-1.7763568e-15,869.2228,-1.6666666,-1.4098071e-17,6.8985934,32.924,9.77517,-0.080768585,-23.14883,-33.00477,-9.855938,0.42576396,1,-205.0,-1.5707963267948966,869.2228,-1.626984126984127,6.8985934
49188,-182.0,0.0,896.97784,-1.4444444,0.0,7.1188717,32.94514,5.941869,-0.049354553,-27.003273,-32.994495,-5.9912224,0.22187023,1,-177.0,-1.5707963267948966,896.97784,-1.4047619047619047,7.1188717
49189,-210.0,0.0,896.9783,-1.6666666,0.0,7.118875,32.92148,9.28518,-0.0782547,-23.6363,-32.999733,-9.363434,0.39614636,1,-205.0,-1.5707963267948966,896.9783,-1.626984126984127,7.118875
49568,-630.0,1.7763568e-15,702.68945,-5.0,1.4098071e-17,5.5769005,33.447887,17.95146,0.39239502,-15.496428,-33.055492,-17.559065,1.1331041,1,-625.0,-1.5707963267948966,702.68945,-4.9603174603174605,5.5769005
49569,-630.0,-8.881784e-16,730.44495,-5.0,-7.0490355e-18,5.797182,31.652351,12.676003,-1.1466675,-18.976349,-32.79902,-13.82267,0.72841567,1,-625.0,-1.5707963267948966,730.44495,-4.9603174603174605,5.797182
49577,-630.0,0.0,758.2005,-5.0,0.0,6.017464,31.291857,16.532543,-1.4422474,-14.759314,-32.734104,-17.97479,1.2178608,1,-625.0,-1.5707963267948966,758.2005,-4.9603174603174605,6.017464
49585,-630.0,0.0,785.956,-5.0,0.0,6.237746,33.087143,13.777913,0.042484283,-19.30923,-33.04466,-13.735428,0.71133995,1,-625.0,-1.5707963267948966,785.956,-4.9603174603174605,6.237746
49593,-630.0,-8.881784e-16,813.7115,-5.0,-7.0490355e-18,6.458028,33.80935,22.869806,0.78372955,-10.939543,-33.02562,-22.086077,2.0189214,1,-625.0,-1.5707963267948966,813.7115,-4.9603174603174605,6.458028
49601,-630.0,-8.881784e-16,841.46704,-5.0,-7.0490355e-18,6.67831,33.80935,23.340048,0.7942543,-10.469301,-33.015095,-22.545794,2.1535146,1,-625.0,-1.5707963267948966,841.46704,-4.9603174603174605,6.67831
49612,-518.0,0.0,896.9731,-4.111111,0.0,7.118834,32.61478,7.4944844,-0.41460037,-25.120296,-33.02938,-7.9090843,0.31484836,1,-513.0,-1.5707963267948966,896.9731,-4.071428571428571,7.118834
