point_index,x,y,z,x_D,y_D,z_D,nut,nutEq_true,nut_pred,delta_nut_true,delta_nut_pred,delta_error,relative_error,ID,ax,theta,z_original,ax_d,z_d
58137,-623.0,301.0,90.0,-4.9444447,2.3888888,0.71428573,5.5258265,1.0690421,0.074456215,-4.4567842,-5.4513702,-0.994586,0.22316225,1,-618.0,3.141592653589793,90.0,-4.904761904761905,0.71428573
67061,-630.0,-84.0,90.0,-5.0,-0.6666667,0.71428573,7.7892265,5.7553306,0.5381808,-2.033896,-7.2510457,-5.2171497,2.5651016,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
67062,-630.0,-87.5,90.0,-5.0,-0.6944444,0.71428573,9.281229,9.209422,0.7116833,-0.07180691,-8.569546,-8.497739,118.34152,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
67185,-630.0,-91.0,90.0,-5.0,-0.7222222,0.71428573,8.471144,6.099592,0.6051812,-2.3715515,-7.8659625,-5.494411,2.3168,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
67590,-626.5,59.5,90.0,-4.9722223,0.4722222,0.71428573,5.437815,1.0237595,0.08513737,-4.414056,-5.352678,-0.938622,0.21264389,1,-621.5,3.141592653589793,90.0,-4.932539682539683,0.71428573
67775,-630.0,63.0,90.0,-5.0,0.5,0.71428573,5.4937544,1.1187407,0.07811165,-4.375014,-5.4156427,-1.0406289,0.23785728,1,-625.0,3.141592653589793,90.0,-4.9603174603174605,0.71428573
68034,-630.0,-14.0,90.0,-5.0,-0.11111111,0.71428573,9.27068,9.369924,0.6796093,0.099243164,-8.591071,-8.690314,-87.56587,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
68035,-630.0,-17.5,90.0,-5.0,-0.1388889,0.71428573,5.3524375,2.2847435,0.05805731,-3.067694,-5.29438,-2.2266862,0.72585016,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
68041,-630.0,-10.5,90.0,-5.0,-0.083333336,0.71428573,10.66215,12.715305,0.8614855,2.053155,-9.800665,-11.85382,-5.7734656,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
68492,-630.0,-7.0,90.0,-5.0,-0.055555556,0.71428573,11.236504,11.783686,0.93550396,0.5471821,-10.301,-10.848182,-19.825542,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
125771,1582.0,1.7763568e-15,758.1964,12.555555,1.4098071e-17,6.0174317,33.871853,1.5963247,-0.61875916,-32.275528,-34.490612,-2.215084,0.06863045,1,1587.0,-1.5707963267948966,758.1964,12.595238095238095,6.0174317
125772,1582.0,-1.7763568e-15,730.44025,12.555555,-1.4098071e-17,5.797145,33.243263,1.6707748,-0.52396774,-31.572489,-33.76723,-2.1947422,0.06951439,1,1587.0,-1.5707963267948966,730.44025,12.595238095238095,5.797145
125773,1554.0,-8.881784e-16,730.4409,12.333333,-7.0490355e-18,5.79715,33.223843,1.5693574,-0.5300102,-31.654486,-33.753853,-2.0993671,0.06632131,1,1559.0,-1.5707963267948966,730.4409,12.373015873015873,5.79715
125774,1554.0,0.0,758.19696,12.333333,0.0,6.017436,33.871387,1.5312608,-0.6241226,-32.340126,-34.49551,-2.155384,0.06664736,1,1559.0,-1.5707963267948966,758.19696,12.373015873015873,6.017436
125777,1778.0,1.7763568e-15,730.44495,14.111111,1.4098071e-17,5.797182,33.5756,2.0771418,-0.47191238,-31.498459,-34.047512,-2.5490532,0.080926284,1,1783.0,-1.5707963267948966,730.44495,14.15079365079365,5.797182
125778,1806.0,0.0,730.4415,14.333333,0.0,5.797155,33.634365,2.0903914,-0.46408844,-31.543974,-34.098454,-2.5544796,0.08098154,1,1811.0,-1.5707963267948966,730.4415,14.373015873015873,5.797155
125779,1806.0,0.0,702.68555,14.333333,0.0,5.5768695,32.106056,2.266682,-0.40403748,-29.839375,-32.510094,-2.6707191,0.08950319,1,1811.0,-1.5707963267948966,702.68555,14.373015873015873,5.5768695
125780,1778.0,-8.881784e-16,702.68945,14.111111,-7.0490355e-18,5.5769005,31.9126,1.9243276,-0.41783333,-29.988272,-32.330433,-2.3421612,0.078102574,1,1783.0,-1.5707963267948966,702.68945,14.15079365079365,5.5769005
125781,1750.0,8.881784e-16,730.4443,13.888889,7.0490355e-18,5.797177,33.51773,2.0263953,-0.47970963,-31.491335,-33.99744,-2.5061054,0.07958079,1,1755.0,-1.5707963267948966,730.4443,13.928571428571429,5.797177
125782,1750.0,8.881784e-16,702.68866,13.888889,7.0490355e-18,5.5768943,31.745716,1.2853751,-0.43055344,-30.46034,-32.17627,-1.715929,0.056333218,1,1755.0,-1.5707963267948966,702.68866,13.928571428571429,5.5768943
125783,1722.0,0.0,730.4456,13.666667,0.0,5.7971873,33.461014,1.9711273,-0.48749924,-31.489887,-33.948513,-2.4586258,0.078076676,1,1727.0,-1.5707963267948966,730.4456,13.706349206349206,5.7971873
125784,1722.0,-8.881784e-16,702.6902,13.666667,-7.0490355e-18,5.576906,31.60461,1.0895993,-0.4422989,-30.51501,-32.04691,-1.5318985,0.050201472,1,1727.0,-1.5707963267948966,702.6902,13.706349206349206,5.576906
125785,1694.0,8.881784e-16,730.44495,13.444445,7.0490355e-18,5.797182,33.407112,1.917326,-0.4952278,-31.489786,-33.90234,-2.4125538,0.07661385,1,1699.0,-1.5707963267948966,730.44495,13.484126984126984,5.797182
125786,1694.0,8.881784e-16,702.68945,13.444445,7.0490355e-18,5.5769005,31.49037,1.277649,-0.45296478,-30.21272,-31.943335,-1.7306137,0.05728096,1,1699.0,-1.5707963267948966,702.68945,13.484126984126984,5.5769005
125787,1666.0,0.0,730.4409,13.222222,0.0,5.79715,33.356644,1.8676962,-0.50283813,-31.488947,-33.85948,-2.370535,0.07528149,1,1671.0,-1.5707963267948966,730.4409,13.261904761904763,5.79715
125788,1666.0,0.0,702.68475,13.222222,0.0,5.5768633,31.399551,1.6537558,-0.4627018,-29.745796,-31.862253,-2.116457,0.071151465,1,1671.0,-1.5707963267948966,702.68475,13.261904761904763,5.5768633
125789,1638.0,-8.881784e-16,702.6902,13.0,-7.0490355e-18,5.576906,31.33275,2.1933062,-0.4715004,-29.139444,-31.80425,-2.6648064,0.09145014,1,1643.0,-1.5707963267948966,702.6902,13.03968253968254,5.576906
125790,1638.0,8.881784e-16,730.4456,13.0,7.0490355e-18,5.7971873,33.31122,1.8159046,-0.51029205,-31.495314,-33.82151,-2.3261967,0.0738585,1,1643.0,-1.5707963267948966,730.4456,13.03968253968254,5.7971873
125791,1862.0,-8.881784e-16,758.19525,14.777778,-7.0490355e-18,6.0174227,33.876194,2.107615,-0.56555176,-31.76858,-34.441746,-2.6731663,0.08414497,1,1867.0,-1.5707963267948966,758.19525,14.817460317460318,6.0174227
125792,1890.0,0.0,758.1873,15.0,0.0,6.0173597,33.87674,1.9503652,-0.5598564,-31.926374,-34.436596,-2.5102215,0.07862532,1,1895.0,-1.5707963267948966,758.1873,15.03968253968254,6.0173597
125793,1890.0,-8.881784e-16,730.4298,15.0,-7.0490355e-18,5.797062,33.83789,1.8980619,-0.43894577,-31.939829,-34.276836,-2.3370075,0.07316907,1,1895.0,-1.5707963267948966,730.4298,15.03968253968254,5.797062
125794,1862.0,-8.881784e-16,730.43896,14.777778,-7.0490355e-18,5.797135,33.761387,2.0794933,-0.44789124,-31.681894,-34.20928,-2.5273838,0.07977376,1,1867.0,-1.5707963267948966,730.43896,14.817460317460318,5.797135
125795,1834.0,8.881784e-16,758.19696,14.555555,7.0490355e-18,6.017436,33.875427,2.1546104,-0.5709915,-31.720818,-34.44642,-2.7256012,0.085924685,1,1839.0,-1.5707963267948966,758.19696,14.595238095238095,6.017436
125796,1834.0,-1.7763568e-15,730.4409,14.555555,-1.4098071e-17,5.79715,33.687515,2.14048,-0.45656586,-31.547035,-34.14408,-2.597046,0.08232298,1,1839.0,-1.5707963267948966,730.4409,14.595238095238095,5.79715
125797,1806.0,0.0,758.1975,14.333333,0.0,6.0174403,33.875027,2.1160214,-0.57627106,-31.759005,-34.451298,-2.6922932,0.084772594,1,1811.0,-1.5707963267948966,758.1975,14.373015873015873,6.0174403
125798,1778.0,-8.881784e-16,758.2005,14.111111,-7.0490355e-18,6.017464,33.87466,2.0995882,-0.5815506,-31.775072,-34.45621,-2.681139,0.08437869,1,1783.0,-1.5707963267948966,758.2005,14.15079365079365,6.017464
125799,1750.0,-8.881784e-16,758.1999,13.888889,-7.0490355e-18,6.0174594,33.8743,2.0414398,-0.586792,-31.832859,-34.46109,-2.628231,0.08256346,1,1755.0,-1.5707963267948966,758.1999,13.928571428571429,6.0174594
125800,1722.0,-8.881784e-16,758.20105,13.666667,-7.0490355e-18,6.0174685,33.87393,1.9737387,-0.5920639,-31.900192,-34.465996,-2.5658035,0.08043223,1,1727.0,-1.5707963267948966,758.20105,13.706349206349206,6.0174685
125801,1694.0,-1.7763568e-15,758.2005,13.444445,-1.4098071e-17,6.017464,33.87355,1.8961049,-0.59736633,-31.977446,-34.470917,-2.4934711,0.077975936,1,1699.0,-1.5707963267948966,758.2005,13.484126984126984,6.017464
125802,1666.0,0.0,758.19696,13.222222,0.0,6.017436,33.873154,1.8176414,-0.6026802,-32.05551,-34.475834,-2.4203224,0.075504094,1,1671.0,-1.5707963267948966,758.19696,13.261904761904763,6.017436
125803,1638.0,0.0,758.20105,13.0,0.0,6.0174685,33.87273,1.7404675,-0.6080589,-32.132263,-34.48079,-2.348526,0.07308935,1,1643.0,-1.5707963267948966,758.20105,13.03968253968254,6.0174685
125804,1610.0,0.0,758.2005,12.777778,0.0,6.017464,33.872295,1.6668322,-0.61343,-32.205463,-34.485725,-2.280262,0.070803575,1,1615.0,-1.5707963267948966,758.2005,12.817460317460318,6.017464
125805,1610.0,-1.7763568e-15,730.44495,12.777778,-1.4098071e-17,5.797182,33.27278,1.7549521,-0.51737595,-31.51783,-33.790157,-2.2723274,0.07209657,1,1615.0,-1.5707963267948966,730.44495,12.817460317460318,5.797182
125817,1722.0,-8.881784e-16,674.93475,13.666667,-7.0490355e-18,5.356625,31.256882,1.25334,-0.2922001,-30.003542,-31.549082,-1.5455399,0.051511914,1,1727.0,-1.5707963267948966,674.93475,13.706349206349206,5.356625
125818,1694.0,0.0,674.92944,13.444445,0.0,5.356583,31.18792,1.4683135,-0.29964447,-29.719606,-31.487564,-1.7679577,0.059487924,1,1699.0,-1.5707963267948966,674.92944,13.484126984126984,5.356583
125819,1666.0,-2.6645353e-15,674.92944,13.222222,-2.1147106e-17,5.356583,31.13933,1.8652954,-0.3063984,-29.274035,-31.445728,-2.1716938,0.074184984,1,1671.0,-1.5707963267948966,674.92944,13.261904761904763,5.356583
125820,1638.0,-1.7763568e-15,674.93475,13.0,-1.4098071e-17,5.356625,31.109917,2.4299376,-0.3125038,-28.67998,-31.42242,-2.7424412,0.095622145,1,1643.0,-1.5707963267948966,674.93475,13.03968253968254,5.356625
