point_index,x,y,z,x_D,y_D,z_D,nut,nutEq_true,nut_pred,delta_nut_true,delta_nut_pred,delta_error,relative_error,ID,ax,theta,z_original,ax_d,z_d
67061,-630.0,-84.0,90.0,-5.0,-0.6666667,0.71428573,7.7892265,5.7553306,0.5598674,-2.033896,-7.229359,-5.195463,2.554439,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
67062,-630.0,-87.5,90.0,-5.0,-0.6944444,0.71428573,9.281229,9.209422,0.7510109,-0.07180691,-8.530218,-8.458411,117.79384,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
68034,-630.0,-14.0,90.0,-5.0,-0.11111111,0.71428573,9.27068,9.369924,0.7407541,0.099243164,-8.529926,-8.629169,-86.94976,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
68035,-630.0,-17.5,90.0,-5.0,-0.1388889,0.71428573,5.3524375,2.2847435,0.19813156,-3.067694,-5.154306,-2.086612,0.6801891,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
68041,-630.0,-10.5,90.0,-5.0,-0.083333336,0.71428573,10.66215,12.715305,0.9544802,2.053155,-9.70767,-11.760825,-5.7281723,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
68492,-630.0,-7.0,90.0,-5.0,-0.055555556,0.71428573,11.236504,11.783686,1.0346355,0.5471821,-10.201868,-10.74905,-19.644375,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
125771,1582.0,1.7763568e-15,758.1964,12.555555,1.4098071e-17,6.0174317,33.871853,1.5963247,-0.5967674,-32.275528,-34.46862,-2.1930923,0.06794908,1,1587.0,-1.5707963267948966,758.1964,12.595238095238095,6.0174317
125772,1582.0,-1.7763568e-15,730.44025,12.555555,-1.4098071e-17,5.797145,33.243263,1.6707748,-0.4361,-31.572489,-33.679363,-2.1068745,0.06673134,1,1587.0,-1.5707963267948966,730.44025,12.595238095238095,5.797145
125773,1554.0,-8.881784e-16,730.4409,12.333333,-7.0490355e-18,5.79715,33.223843,1.5693574,-0.44060135,-31.654486,-33.664444,-2.0099583,0.06349679,1,1559.0,-1.5707963267948966,730.4409,12.373015873015873,5.79715
125774,1554.0,0.0,758.19696,12.333333,0.0,6.017436,33.871387,1.5312608,-0.6007805,-32.340126,-34.472168,-2.132042,0.06592559,1,1559.0,-1.5707963267948966,758.19696,12.373015873015873,6.017436
125777,1778.0,1.7763568e-15,730.44495,14.111111,1.4098071e-17,5.797182,33.5756,2.0771418,-0.39642334,-31.498459,-33.972023,-2.4735641,0.078529686,1,1783.0,-1.5707963267948966,730.44495,14.15079365079365,5.797182
125778,1806.0,0.0,730.4415,14.333333,0.0,5.797155,33.634365,2.0903914,-0.3907547,-31.543974,-34.02512,-2.4811459,0.07865673,1,1811.0,-1.5707963267948966,730.4415,14.373015873015873,5.797155
125779,1806.0,0.0,702.68555,14.333333,0.0,5.5768695,32.106056,2.266682,-0.27356339,-29.839375,-32.37962,-2.540245,0.08513064,1,1811.0,-1.5707963267948966,702.68555,14.373015873015873,5.5768695
125780,1778.0,-8.881784e-16,702.68945,14.111111,-7.0490355e-18,5.5769005,31.9126,1.9243276,-0.2854786,-29.988272,-32.19808,-2.2098064,0.07368902,1,1783.0,-1.5707963267948966,702.68945,14.15079365079365,5.5769005
125781,1750.0,8.881784e-16,730.4443,13.888889,7.0490355e-18,5.797177,33.51773,2.0263953,-0.40219498,-31.491335,-33.919926,-2.4285908,0.077119336,1,1755.0,-1.5707963267948966,730.4443,13.928571428571429,5.797177
125782,1750.0,8.881784e-16,702.68866,13.888889,7.0490355e-18,5.5768943,31.745716,1.2853751,-0.29621506,-30.46034,-32.04193,-1.5815907,0.051922947,1,1755.0,-1.5707963267948966,702.68866,13.928571428571429,5.5768943
125783,1722.0,0.0,730.4456,13.666667,0.0,5.7971873,33.461014,1.9711273,-0.4080696,-31.489887,-33.869083,-2.3791962,0.0755543,1,1727.0,-1.5707963267948966,730.4456,13.706349206349206,5.7971873
125784,1722.0,-8.881784e-16,702.6902,13.666667,-7.0490355e-18,5.576906,31.60461,1.0895993,-0.30587006,-30.51501,-31.91048,-1.3954697,0.0457306,1,1727.0,-1.5707963267948966,702.6902,13.706349206349206,5.576906
125785,1694.0,8.881784e-16,730.44495,13.444445,7.0490355e-18,5.797182,33.407112,1.917326,-0.41397476,-31.489786,-33.821087,-2.3313007,0.07403355,1,1699.0,-1.5707963267948966,730.44495,13.484126984126984,5.797182
125786,1694.0,8.881784e-16,702.68945,13.444445,7.0490355e-18,5.5769005,31.49037,1.277649,-0.31432533,-30.21272,-31.804695,-1.5919743,0.052692186,1,1699.0,-1.5707963267948966,702.68945,13.484126984126984,5.5769005
125787,1666.0,0.0,730.4409,13.222222,0.0,5.79715,33.356644,1.8676962,-0.41984558,-31.488947,-33.77649,-2.2875423,0.07264588,1,1671.0,-1.5707963267948966,730.4409,13.261904761904763,5.79715
125788,1666.0,0.0,702.68475,13.222222,0.0,5.5768633,31.399551,1.6537558,-0.32172966,-29.745796,-31.721281,-1.9754848,0.06641223,1,1671.0,-1.5707963267948966,702.68475,13.261904761904763,5.5768633
125789,1638.0,-8.881784e-16,702.6902,13.0,-7.0490355e-18,5.576906,31.33275,2.1933062,-0.32814407,-29.139444,-31.660894,-2.52145,0.08653048,1,1643.0,-1.5707963267948966,702.6902,13.03968253968254,5.576906
125790,1638.0,8.881784e-16,730.4456,13.0,7.0490355e-18,5.7971873,33.31122,1.8159046,-0.42563248,-31.495314,-33.73685,-2.241537,0.071170494,1,1643.0,-1.5707963267948966,730.4456,13.03968253968254,5.7971873
125791,1862.0,-8.881784e-16,758.19525,14.777778,-7.0490355e-18,6.0174227,33.876194,2.107615,-0.56295395,-31.76858,-34.439148,-2.6705685,0.0840632,1,1867.0,-1.5707963267948966,758.19525,14.817460317460318,6.0174227
125792,1890.0,0.0,758.1873,15.0,0.0,6.0173597,33.87674,1.9503652,-0.5599899,-31.926374,-34.43673,-2.510355,0.0786295,1,1895.0,-1.5707963267948966,758.1873,15.03968253968254,6.0173597
125793,1890.0,-8.881784e-16,730.4298,15.0,-7.0490355e-18,5.797062,33.83789,1.8980619,-0.37267303,-31.939829,-34.210564,-2.2707348,0.07109414,1,1895.0,-1.5707963267948966,730.4298,15.03968253968254,5.797062
125794,1862.0,-8.881784e-16,730.43896,14.777778,-7.0490355e-18,5.797135,33.761387,2.0794933,-0.3792305,-31.681894,-34.140617,-2.458723,0.077606566,1,1867.0,-1.5707963267948966,730.43896,14.817460317460318,5.797135
125795,1834.0,8.881784e-16,758.19696,14.555555,7.0490355e-18,6.017436,33.875427,2.1546104,-0.5657501,-31.720818,-34.441177,-2.7203598,0.085759446,1,1839.0,-1.5707963267948966,758.19696,14.595238095238095,6.017436
125796,1834.0,-1.7763568e-15,730.4409,14.555555,-1.4098071e-17,5.79715,33.687515,2.14048,-0.3855095,-31.547035,-34.073025,-2.5259895,0.080070585,1,1839.0,-1.5707963267948966,730.4409,14.595238095238095,5.79715
125797,1806.0,0.0,758.1975,14.333333,0.0,6.0174403,33.875027,2.1160214,-0.5685806,-31.759005,-34.443607,-2.6846027,0.08453044,1,1811.0,-1.5707963267948966,758.1975,14.373015873015873,6.0174403
125798,1778.0,-8.881784e-16,758.2005,14.111111,-7.0490355e-18,6.017464,33.87466,2.0995882,-0.57154083,-31.775072,-34.4462,-2.6711292,0.08406367,1,1783.0,-1.5707963267948966,758.2005,14.15079365079365,6.017464
125799,1750.0,-8.881784e-16,758.1999,13.888889,-7.0490355e-18,6.0174594,33.8743,2.0414398,-0.5746422,-31.832859,-34.44894,-2.6160812,0.08218179,1,1755.0,-1.5707963267948966,758.1999,13.928571428571429,6.0174594
125800,1722.0,-8.881784e-16,758.20105,13.666667,-7.0490355e-18,6.0174685,33.87393,1.9737387,-0.5779419,-31.900192,-34.451874,-2.5516815,0.07998954,1,1727.0,-1.5707963267948966,758.20105,13.706349206349206,6.0174685
125801,1694.0,-1.7763568e-15,758.2005,13.444445,-1.4098071e-17,6.017464,33.87355,1.8961049,-0.5814438,-31.977446,-34.454994,-2.4775486,0.077478,1,1699.0,-1.5707963267948966,758.2005,13.484126984126984,6.017464
125802,1666.0,0.0,758.19696,13.222222,0.0,6.017436,33.873154,1.8176414,-0.5851059,-32.05551,-34.45826,-2.402748,0.07495585,1,1671.0,-1.5707963267948966,758.19696,13.261904761904763,6.017436
125803,1638.0,0.0,758.20105,13.0,0.0,6.0174685,33.87273,1.7404675,-0.5889511,-32.132263,-34.46168,-2.3294182,0.07249468,1,1643.0,-1.5707963267948966,758.20105,13.03968253968254,6.0174685
125804,1610.0,0.0,758.2005,12.777778,0.0,6.017464,33.872295,1.6668322,-0.5928421,-32.205463,-34.465137,-2.259674,0.07016431,1,1615.0,-1.5707963267948966,758.2005,12.817460317460318,6.017464
125805,1610.0,-1.7763568e-15,730.44495,12.777778,-1.4098071e-17,5.797182,33.27278,1.7549521,-0.43109512,-31.51783,-33.703876,-2.1860466,0.06935905,1,1615.0,-1.5707963267948966,730.44495,12.817460317460318,5.797182
125817,1722.0,-8.881784e-16,674.93475,13.666667,-7.0490355e-18,5.356625,31.256882,1.25334,-0.104112625,-30.003542,-31.360994,-1.3574524,0.045243073,1,1727.0,-1.5707963267948966,674.93475,13.706349206349206,5.356625
125818,1694.0,0.0,674.92944,13.444445,0.0,5.356583,31.18792,1.4683135,-0.10879135,-29.719606,-31.296711,-1.5771046,0.05306613,1,1699.0,-1.5707963267948966,674.92944,13.484126984126984,5.356583
125819,1666.0,-2.6645353e-15,674.92944,13.222222,-2.1147106e-17,5.356583,31.13933,1.8652954,-0.11273575,-29.274035,-31.252066,-1.9780312,0.06756947,1,1671.0,-1.5707963267948966,674.92944,13.261904761904763,5.356583
125820,1638.0,-1.7763568e-15,674.93475,13.0,-1.4098071e-17,5.356625,31.109917,2.4299376,-0.1160202,-28.67998,-31.225937,-2.5459576,0.08877125,1,1643.0,-1.5707963267948966,674.93475,13.03968253968254,5.356625
